연번,구역명,구역위치,구역면적,건폐율,용적률,토지등소유자,예상세대수,정비구역지정일,추진위원회승인일,조합인가일,시공자선정,사업시행인가일,관리처분계획인가일,현 추진사항,비고
1,학익1구역,인천광역시 미추홀구 학익동 220번지 일원,71349.5,15.93,249.7,422,1581,2007-12-18,2006-08-16,2008-03-25,SK에코플랜트,2008-12-19,2019-09-24,준공(2024-09-11),
2,주안3구역,인천광역시 미추홀구 주안동 830번지 일원,95786.1,14.73,248.73,791,2054,2008-05-19,2006-08-16,2008-09-01,"GS,쌍용",2010-01-08,2017-11-13,준공(2023-02-24),
3,숭의3구역,인천광역시 미추홀구 숭의동 18번지 일원,32886.9,14.2324,244.6406,336,739,2008-06-30,2006-12-22,2008-10-24,DL이앤씨,2010-07-01,2021-09-13,착공(2023-10-25),
4,학익2구역,인천광역시 미추홀구 학익동 6-55번지 일원,13767.8,16.642,241.705,108,336,2008-12-01,2006-09-05,2009-03-09,일성,2011-03-24,2018-03-26,이전고시(2023-03-27),
5,도화4구역,인천광역시 미추홀구 도화동 53-28번지 일원,35981.3,16.39,274.88,277,703,2008-11-24,2006-08-25,2009-06-12,두산건설,2011-10-21,2022-06-13,철거중,
6,전도관구역,인천광역시 미추홀구 숭의동 109번지 일원,69428.9,19.2,298.58,508,1705,2008-05-06,2004-12-16,2008-11-28,디엘건설,2012-01-16,2020-11-16,착공(2024-05-31),
7,여의구역 ,인천광역시 미추홀구 숭의동 232번지 일원,1116,15.16,250.83,482,1116,2009-01-19,2007-03-05,2009-05-18,두산건설,2012-06-18,2020-06-22,착공(2021-10-29),
8,숭의5구역,인천광역시 미추홀구 숭의동 284번지 일원,594,15,245,268,594,2008-07-07,2006-08-24,2008-10-16,,,,조합설립,
9,주안4구역,인천광역시 미추홀구 주안동 1577번지 일원,90359.8,15.49,274.77,1104,1856,2009-04-06,2006-12-26,2010-05-20,"롯데,포스코",2013-05-27,2017-01-23,준공(2022-07-28),
10,도화1구역,인천광역시 미추홀구 도화동 372-18번지 일원,81788.8,18.08,329.32,1062,2331,2009-12-21,2007-09-05,2010-07-09,DL이앤씨,2018-11-05,2022-03-28,관리처분계획인가,이주진행
11,학익4구역,인천광역시 미추홀구 학익동 290-1번지 일원,20667,20.19,298.82,270,562,2009-09-28,2008-01-24,2010-07-14,한화/건설,2019-09-23,2021-03-15,착공(2022-08-31),실착공(2023-05-15)
12,용현4구역,인천광역시 미추홀구 용현동 155번지 일원,47951,20,250,633,976,2010-02-22,2007-07-04,2010-12-20,"SK건설,KCC건설",,,조합설립,
13,학익3구역,인천광역시 미추홀구 학익동 321-35번지 일원,80970.6,15.76,249.52,728,1500,2016-12-26,2006-08-17,2017-10-10,대우건설,2020-09-07,2022-04-18,철거완료,착공 준비중
14,주안10구역,인천광역시 미추홀구 주안동 1545-2번지 일원,50011.3,16.24,269.14,392,1146,2008-12-01,2007-02-14,2013-05-13,포스코건설,2018-03-12,2019-05-07,준공(2024-09-24),
